MMSI,时间(Local),Unix时间戳,视觉类别,原始类别描述,原始类别编码,航行状态,纬度,经度,航速,航向,船首向,船长,船宽
414034000,2025-12-04 13:28:20,1764826100.944,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935753,117.820123,4.1,289.0,288.0,225.0,32.0
566850000,2025-12-04 13:28:25,1764826105.5,general cargo vessels,货轮-无信息,79.0,在航(使用引擎),38.928517,117.84772,8.0,290.0,291.0,190.0,32.0
413424590,2025-12-04 13:28:27,1764826107.801,other,疏浚/水下作业,33.0,在航(使用引擎),38.91532,117.821505,,360.0,511.0,45.0,18.0
413424590,2025-12-04 13:28:37,1764826117.501,other,疏浚/水下作业,33.0,在航(使用引擎),38.915318,117.821493,,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:28:58,1764826138.804,other,其他-通用,90.0,在航(使用引擎),38.88111,117.84512,0.5,267.5,511.0,49.0,19.0
414034000,2025-12-04 13:29:01,1764826141.314,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.93597,117.819182,4.1,286.6,288.0,225.0,32.0
412365370,2025-12-04 13:29:05,1764826145.574,other,其他-通用,90.0,,38.89165,117.849617,0.4,218.4,511.0,46.0,16.0
413424590,2025-12-04 13:29:06,1764826146.219,other,疏浚/水下作业,33.0,在航(使用引擎),38.91532,117.82147,,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:29:08,1764826148.966,other,其他-通用,90.0,在航(使用引擎),38.881113,117.845133,0.5,267.5,511.0,49.0,19.0
413368420,2025-12-04 13:29:14,1764826154.193,other,其他-通用,90.0,,38.893897,117.845735,,358.9,511.0,49.0,18.0
566850000,2025-12-04 13:29:15,1764826155.257,general cargo vessels,货轮-无信息,79.0,在航(使用引擎),38.929085,117.845645,7.3,289.0,290.0,190.0,32.0
413424590,2025-12-04 13:29:16,1764826156.112,other,疏浚/水下作业,33.0,在航(使用引擎),38.915322,117.82147,,360.0,511.0,45.0,18.0
354127000,2025-12-04 13:29:17,1764826157.587,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.970117,117.770967,,228.0,281.0,190.0,33.0
